운행일자,정산사업자,노선아이디,노선명,노선번호,교통수단구분,교통수단 상세구분명,기점 정류장 아이디,종점 정류장 아이디,기점 정류장 명,종점 정류장 명,노선길이,경유정류장수
2025-06-13,마이비,43017062,제천역-사택앞,230,버스,985제천시내,4330430,4397700,제천역,사택앞,25133,61
2025-06-13,마이비,43017063,제천역-제천역,233,버스,985제천시내,4330430,4330430,제천역,제천역,49049,101
2025-06-13,마이비,43017064,제천역-제천역,240,버스,985제천시내,4330430,4330430,제천역,제천역,56095,111
2025-06-13,마이비,43017065,제천역-제천역,241,버스,985제천시내,4330430,4330430,제천역,제천역,58617,116
2025-06-13,마이비,43017066,강저휴먼시아3단-제천역,244,버스,985제천시내,4392450,4330430,강저휴먼시아3단지앞,제천역,84997,151
2025-06-13,마이비,43017067,제천역-제천역,250,버스,985제천시내,4330430,4330430,제천역,제천역,74433,120
2025-06-13,마이비,43017068,제천역-제천역,255,버스,985제천시내,4330430,4330430,제천역,제천역,51010,100
2025-06-13,마이비,43017069,제천역-제천역,260,버스,985제천시내,4330430,4330430,제천역,제천역,98779,142
2025-06-13,마이비,43017070,제천역-제천역,260-1,버스,985제천시내,4330430,4330430,제천역,제천역,98779,142
2025-06-13,마이비,43017071,제천역-제천역,260-2,버스,985제천시내,4330430,4330430,제천역,제천역,107417,151
2025-06-13,마이비,43017072,제천역-제천역,260-3,버스,985제천시내,4330430,4330430,제천역,제천역,101017,143
2025-06-13,마이비,43017073,제천역-제천역,260-5,버스,985제천시내,4330430,4330430,제천역,제천역,107417,151
2025-06-13,마이비,43017074,송한절골-제천역,320,버스,985제천시내,4399520,4330430,송한절골,제천역,20298,37
2025-06-13,마이비,43017075,제천역-제천역,330,버스,985제천시내,4330430,4330430,제천역,제천역,41411,82
2025-06-13,마이비,43017076,제천역-제천역,335,버스,985제천시내,4330430,4330430,제천역,제천역,42503,86
2025-06-13,마이비,43017077,제천역-제천역,340,버스,985제천시내,4330430,4330430,제천역,제천역,52921,94
2025-06-13,마이비,43017078,제천역-제천역,350,버스,985제천시내,4330430,4330430,제천역,제천역,40322,83
2025-06-13,마이비,43017079,제천역-제천역,360,버스,985제천시내,4330430,4330430,제천역,제천역,50105,87
2025-06-13,마이비,43017080,장락로즈웰-장락로즈웰,420,버스,985제천시내,4314330,4314270,장락로즈웰,장락로즈웰,22266,46
